Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025-10-06 16:51:00,0.79545,0.79545,0.79539,0.79542,7,4,0
2025-10-06 16:52:00,0.79545,0.79545,0.79537,0.79538,12,3,0
2025-10-06 16:53:00,0.79536,0.79536,0.79531,0.79534,9,10,0
2025-10-06 16:54:00,0.79535,0.79536,0.79523,0.79523,12,10,0
2025-10-06 16:55:00,0.79526,0.79528,0.79519,0.79523,10,10,0
2025-10-06 16:56:00,0.79523,0.79526,0.79523,0.79523,6,10,0
2025-10-06 16:57:00,0.79522,0.79526,0.79519,0.7952,10,10,0
2025-10-06 16:58:00,0.7952,0.7952,0.79512,0.79512,23,10,0
2025-10-06 16:59:00,0.79512,0.79512,0.795,0.79506,25,10,0
2025-10-06 17:00:00,0.79507,0.79514,0.79503,0.79514,20,10,0
2025-10-06 17:01:00,0.79511,0.79515,0.79511,0.79513,16,10,0
2025-10-06 17:02:00,0.79513,0.79517,0.79513,0.79516,9,10,0
2025-10-06 17:03:00,0.79516,0.79516,0.7951,0.7951,20,10,0
2025-10-06 17:04:00,0.79509,0.79512,0.79507,0.79507,15,10,0
2025-10-06 17:05:00,0.79509,0.79521,0.79508,0.79516,14,10,0
2025-10-06 17:06:00,0.79518,0.79523,0.79516,0.79522,17,10,0
2025-10-06 17:07:00,0.79523,0.79523,0.7952,0.7952,6,10,0
2025-10-06 17:08:00,0.7952,0.79522,0.79517,0.79517,7,11,0
2025-10-06 17:09:00,0.79517,0.79523,0.79517,0.79517,16,11,0
2025-10-06 17:10:00,0.79518,0.7952,0.7951,0.79511,14,11,0
2025-10-06 17:11:00,0.7951,0.79516,0.79505,0.79514,17,11,0
2025-10-06 17:12:00,0.79513,0.79513,0.7951,0.79511,7,11,0
2025-10-06 17:13:00,0.79511,0.79512,0.79509,0.7951,8,11,0
2025-10-06 17:14:00,0.7951,0.7952,0.7951,0.7952,17,11,0
2025-10-06 17:15:00,0.79522,0.79527,0.79517,0.79526,18,11,0
2025-10-06 17:16:00,0.79523,0.79529,0.79522,0.79529,14,11,0
2025-10-06 17:17:00,0.7953,0.7953,0.79523,0.79523,10,11,0
2025-10-06 17:18:00,0.79523,0.79527,0.79523,0.79527,3,11,0
2025-10-06 17:19:00,0.79527,0.79528,0.79521,0.79521,9,11,0
2025-10-06 17:20:00,0.79521,0.79529,0.79521,0.79522,12,11,0
2025-10-06 17:21:00,0.79521,0.79522,0.7952,0.79521,13,11,0
2025-10-06 17:22:00,0.7952,0.79523,0.7952,0.79523,3,11,0
2025-10-06 17:23:00,0.79523,0.79523,0.79515,0.79518,10,11,0
2025-10-06 17:24:00,0.79518,0.7952,0.79517,0.7952,9,11,0
2025-10-06 17:25:00,0.79519,0.79521,0.79515,0.79516,14,11,0
2025-10-06 17:26:00,0.79516,0.79518,0.79515,0.79517,16,11,0
2025-10-06 17:27:00,0.79517,0.79517,0.79513,0.79517,14,11,0
2025-10-06 17:28:00,0.79517,0.79518,0.79515,0.79516,12,11,0
2025-10-06 17:29:00,0.79517,0.79523,0.79517,0.7952,18,11,0
2025-10-06 17:30:00,0.79524,0.79531,0.79524,0.79528,13,11,0
2025-10-06 17:31:00,0.79528,0.79532,0.79528,0.79531,9,11,0
2025-10-06 17:32:00,0.79531,0.79531,0.7953,0.79531,3,11,0
2025-10-06 17:33:00,0.79532,0.79534,0.79528,0.79531,10,11,0
2025-10-06 17:34:00,0.79531,0.79531,0.79528,0.79529,6,11,0
2025-10-06 17:35:00,0.7953,0.7953,0.79521,0.79521,10,11,0
2025-10-06 17:36:00,0.7952,0.79521,0.7952,0.79521,10,10,0
2025-10-06 17:37:00,0.7952,0.79521,0.7952,0.7952,7,10,0
2025-10-06 17:38:00,0.7952,0.7952,0.79511,0.79512,18,10,0
2025-10-06 17:39:00,0.79512,0.79517,0.79511,0.79512,13,10,0
2025-10-06 17:40:00,0.79511,0.79517,0.79511,0.79514,12,10,0
2025-10-06 17:41:00,0.79516,0.79516,0.79513,0.79513,5,7,0
2025-10-06 17:42:00,0.79514,0.79524,0.79514,0.79524,9,10,0
